episode,random_reward,random_win,trained_reward,trained_win
0,0.136,281,-0.584,100
5000,0.088,268,-0.47,131
10000,0.204,295,-0.47,127
15000,0.276,318,-0.248,184
20000,0.35,332,-0.308,167
25000,0.476,366,-0.156,203
30000,0.53,379,-0.204,194
35000,0.544,382,-0.102,217
40000,0.56,387,-0.092,221
45000,0.604,400,-0.044,232
50000,0.568,388,0.02,248
55000,0.594,395,-0.022,241
60000,0.572,390,-0.076,227
65000,0.638,407,0.094,267
70000,0.6,398,0.022,248
75000,0.576,392,0.05,257
80000,0.708,423,-0.04,232
85000,0.616,400,0.0,242
90000,0.572,390,0.068,259
95000,0.696,423,0.056,257
100000,0.636,405,0.118,271
105000,0.636,407,-0.004,244
110000,0.65,409,0.064,259
115000,0.634,404,0.17,289
120000,0.626,403,0.098,266
125000,0.67,415,0.204,296
130000,0.696,419,0.116,274
135000,0.646,407,0.088,264
140000,0.716,427,0.082,266
145000,0.656,412,0.116,270
150000,0.65,410,0.056,258
155000,0.656,410,0.038,253
160000,0.666,412,0.102,268
165000,0.672,415,0.108,272
170000,0.694,418,0.048,254
175000,0.7,421,0.096,269
180000,0.65,410,0.086,267
185000,0.692,419,0.082,266
190000,0.624,401,0.14,279
195000,0.708,423,0.038,253
200000,0.664,412,0.096,269
205000,0.674,413,0.078,267
210000,0.594,394,0.07,263
215000,0.648,410,0.052,258
220000,0.64,407,0.0,243
225000,0.71,426,0.12,273
230000,0.642,408,0.108,268
235000,0.684,417,0.106,272
240000,0.704,422,0.006,245
245000,0.64,408,0.052,258
250000,0.706,424,0.106,270
255000,0.692,419,-0.01,242
260000,0.676,415,0.08,264
265000,0.69,418,0.006,247
270000,0.682,417,0.098,268
275000,0.668,416,0.07,261
280000,0.586,392,0.15,282
285000,0.712,426,0.092,266
290000,0.6,397,0.228,299
295000,0.634,405,0.086,267
300000,0.714,426,0.068,260
305000,0.666,415,0.206,298
310000,0.652,412,-0.006,240
315000,0.706,423,0.066,262
320000,0.704,421,0.126,273
325000,0.644,410,0.028,250
330000,0.688,419,0.078,265
335000,0.654,410,0.078,262
340000,0.66,410,0.112,271
345000,0.758,437,0.148,282
350000,0.726,428,0.178,292
355000,0.632,406,0.074,263
360000,0.686,419,0.162,284
365000,0.69,420,0.146,282
370000,0.624,402,0.206,297
375000,0.734,430,0.11,272
380000,0.704,424,0.088,267
385000,0.638,406,0.068,262
390000,0.69,420,0.008,245
395000,0.652,407,0.094,267
400000,0.732,430,0.144,282
405000,0.74,434,0.106,270
410000,0.652,409,0.088,265
415000,0.568,389,0.088,264
420000,0.718,426,0.132,277
425000,0.686,417,0.072,260
430000,0.676,415,0.158,281
435000,0.668,413,0.072,263
440000,0.646,408,0.04,256
445000,0.68,417,0.058,260
450000,0.738,433,0.132,278
455000,0.684,418,-0.014,243
460000,0.704,423,0.016,248
465000,0.644,407,0.124,275
470000,0.652,409,-0.002,245
475000,0.644,408,0.138,276
480000,0.654,410,0.072,260
485000,0.688,420,0.03,252
490000,0.686,417,0.168,285
495000,0.652,410,0.088,261
